rid,name,address1,address2,city,state,zip
referralMNRef124,Sanford Health - Sports Complex Acute Care and Orthopedic Fast Track Clinic,4000 N Hercules Ave Ste 100,"",Sioux Falls,SD,57107
referralMNRef125,Sanford Health - Center for Joint Success Sioux Falls,1305 W 18th St,"",Sioux Falls,SD,57105
referralMNRef126,Sanford Health - 32nd & Ellis Acute Care and Orthopedic Fast Track Clinic,2601 S Ellis Rd,"",Sioux Falls,SD,57106
referralMNRef127,Sanford Health - Outpatient Rehabilitation and Sports Medicine,3401 W 49th St,"",Sioux Falls,SD,57106
referralMNRef128,Sanford Health - 69th & Minnesota Acute Care and Orthopedic Fast Track Clinic,6110 S Minnesota Ave,"",Sioux Falls,SD,57108
referralMNRef129,Sanford Health - 26th & Sycamore Acute Care and Orthopedic Fast Track Clinic,4405 E 26th St,"",Sioux Falls,SD,57103
referralMNRef130,Sanford Health - Broadway Clinic,801 Broadway N,"",Fargo,ND,58102
referralMNRef131,Sanford Health - Center for Joint Success Fargo,1720 University Dr S,"",Fargo,ND,58103
referralMNRef132,Sanford Health - Worthington Medical Center,1018 6th Ave,"",Worthington,MN,56187
referralMNRef133,Sanford Health - Tracy Clinic,249 5th St E,"",Tracy,MN,56175
referralMNRef134,Sanford Health - Canby Clinic,112 Saint Olaf Ave S,"",Canby,MN,56220
referralMNRef135,Sanford Health - Bemidji Orthopedics & Sports Medicine Center,1300 Anne St NW,"",Bemidji,MN,56601
referralMNRef136,Sanford Health - 929 Central Ave. Clinic,929 Central Ave NW,"",East Grand Forks,MN,56721
mgtindummy001,"Aguilar, Nelson (Practice: Maytin and Uria MD )",4300 N UNIVERSITY DR,STE B107,LAUDERHILL,FL,33351
mgtindummy002,"Chandy, Francis (Practice: Francis Chandy MD)",6971 W SUNRISE BLVD,STE 103,PLANTATION,FL,33313
referralMNRef137,Sanford Health - Detroit Lakes Clinic & Same Day Surgery Center,1245 Washington Ave,"",Detroit Lakes,MN,56501
referralMNRef138,Sanford Health - Clear Lake Clinic,701 3rd Ave S,"",Clear Lake,SD,57226
referralMNRef139,Sanford Health - Clear Lake Clinic,701 3rd Ave S,"",Clear Lake,SD,57226
referralMNRef140,Sanford Health - Worthington Orthopedics & Sports Medicine Clinic,1680 Diagonal Rd,"",Worthington,MN,56187
referralMNRef141,Sanford Health - Worthington Medical Center,1018 6th Ave,"",Worthington,MN,56187
referralMNRef142,Sanford Health - Worthington Orthopedics & Sports Medicine Clinic,1680 Diagonal Rd,"",Worthington,MN,56187
referralMNRef143,Sanford Health - Jackson Clinic,1430 North Hwy,"",Jackson,MN,56143
referralMNRef180,Sanford Health - Park Rapids Clinic,110 7th St W,"",Park Rapids,MN,56470
referralMNRef181,Sanford Health - Children's Hospital Fargo,5225 23rd Ave S,"",Fargo,ND,58104
referralMNRef182,Sanford Health - Children's Hospital Fargo,5225 23rd Ave S,"",Fargo,ND,58104
referralMNRef196,St. Lukes - Mariner Clinic,109 N 28th St E,"",Superior,WI,54880
TEST12343,LABCORP,2811 TAMIAMI TRL STE F,"",PORT CHARLOTTE,FL,33952
TEST12344,LABCORP,4601 N CONGRESS AVE,CORNER OF 45TH ST,WEST PALM BEACH,FL,33407
mgtindummy004,"Korn, David (Practice: South Florida Cardiology Associates)",5480 GRIFFIN RD,"",DAVIE,FL,33314
mgtindummy005,"Lechtenstein, Jared M (Practice: David M Steiman MD)",350 NW 84TH AVE,STE 211,PLANTATION,FL,33324
TEST12345,LABCORP,900 GLADES RD STE 1B,"",BOCA RATON,FL,33431
mgtindummy006,"Linzer, Dov S (Practice: Dov S Linzer MD)",302 NW 179TH AVE,STE 102,PEMBROKE PINES,FL,33029
mgtindummy007,"Murcia, Alvaro M (Practice: Murcia, Alvaro M)",18503 PINES  BLVD,STE 303,PEMBROKE PINES,FL,33029
mgtindummy008,"Perlman, Bruce A (Practice: Bruce A Perlman MD)",3001 NW 49TH AVE,STE 206,LAUDERDALE LAKES,FL,33313
mgtindummy009,"Schnur, Steven A (Practice: South Florida Cardiology Associates)",1281 S TAMIAMI TRL,"",SARASOTA,FL,34239
mgtindummy010,"Sizemore -Ruiz, Tiffany B (Practice: Tiffany Sizemore DO)",1409 SE 1ST AVE,"",FT LAUDERDALE,FL,33316
TEST12346,LABCORP,10720 CARIBBEAN BLVD STE 430,"",CUTLER BAY,FL,33189
TEST12347,LABCORP,2981B W BAY DR,"",BELLEAIR BLUFFS,FL,33770
referralMNRef197,St. Lukes - Lake View Hospital,325 11th Ave,"",Two Harbors,MN,55616
TEST12348,LABCORP,2720 SW 97th Ave # 204 & 205,"",MIAMI,FL,33165
referralMNRef206,Summit Ortho - Blaine Clinic,10230 Baltimore St NE,Suite 300,Blaine,MN,55449
referralMNRef208,Summit Ortho - Blaine Clinic,10230 Baltimore St NE,Ste 300,Blaine,MN,55449
TEST12349,LABCORP,11370 66TH ST STE 125,"",LARGO,FL,33773
referralMNRef209,Summit Ortho - Minnesota Occupational Health - Eagan,1400 Corporate Center Curve,Ste 200,Eagan,MN,55121
referralMNRef211,Summit Ortho - Hutinson Health Clinic,3 Century Ave SE,"",Hutchinson,MN,55350
referralMNRef213,Summit Ortho - New Ulm Clinic,1324 5th St N,"",New Ulm,MN,56073
referralMNRef214,Carris Health - Willmar Main Clinic,101 Willmar Ave SW,"",Willmar,MN,56201
referralMNRef216,Summit Ortho - Buffalo Clnic,1700 Highway 25 N Ste 120,"",Buffalo,MN,55313
referralMNRef218,Stellis Health - Buffalo,1700 Highway 25 N,"",Buffalo,MN,55313
TEST12350,LABCORP,2731 EXECUTIVE PARK DR STE 5,"",WESTON,FL,33331
referralMNRef220,Glencoe Clinic,1805 Hennepin Ave N,"",Glencoe,MN,55336
referralMNRef221,Twin Cities Orthopedics - Eden Prairie,12982 Valley View Rd,"",Eden Prairie,MN,55344
TEST12351,LABCORP,16261 BASS RD. STE 101,"",FORT MYERS,FL,33908
referralMNRef222,Twin Cities Orthopedics - Waconia,560 S Maple St Ste 200,"",Waconia,MN,55387
TEST12352,LABCORP,5172 MASON CORBIN CT STE 2,"",FORT MYERS,FL,33907
TEST12353,LABCORP,1550 BLOOMINGDALE AVE,"",VALRICO,FL,33596
referralMNRef223,Twin Cities Orthopedics - Maple Grove,9630 Grove Cir N Ste 200,"",Maple Grove,MN,55369
TEST12354,LABCORP,2209 NORTH BLVD W STE B,"",DAVENPORT,FL,33837
MN_ORTHO2,Stellis Health PA - Monticello,1001 Hart Blvd,Ste 100,Monticello,MN,55362
referralMNRef264,Rivers Edge Hospital,1900 Sunrise Dr,"",Saint Peter,MN,56082
MN_ORTHO3,St Cloud Orthopedic Associates LTD - Main Clinic,1901 Connecticut Ave South,"",Sartell,MN,56377
MN_ORTHO4,St Cloud Orthopedic Associates LTD - St. Cloud Clinic,3315 Roosevelt Rd,#200B,St. Cloud,MN,56301
MN_ORTHO5,Summit Orthopedics - Blaine,10230 Baltimore St,Suite 300,Blaine,MN,55449
MN_ORTHO6,Summit Orthopedics - Eagan,2620 Eagan Woods Drive,"",Eagan,MN,55121
MN_ORTHO7,Minnesota Occupational Health - Blaine,10230 Baltimore St,Suite 300,Blaine,MN,55449
MN_ORTHO8,Minnesota Occupational Health - Eagan,1400 Corporate Center Curve,Suite 200,Eagan,MN,55121
MN_ORTHO9,Minnesota Occupational Health - Saint Paul,1661 St. Anthony Ave,2/FL,St. Paul,MN,55104
MN_ORTHO10,Minnesota Occupational Health - Shakopee,4360 12th Avenue East,"",Shakopee,MN,55379
MN_ORTHO11,Summit Orthopedics - Mora,301 Hwy 65 S,"",Mora,MN,55051
MN_ORTHO12,Summit Orthopedics - Woodbury,2090 Woodwinds Drive,"",Woodbury,MN,55125
MN_ORTHO13,Park Nicollet Orthopedics - Shakopee,1601 Saint Francis Ave,2/FL,Shakopee,MN,55379
MN_ORTHO14,Park Nicollet Clinic - Chanhassen,300 Lake Dr E,"",Chanhassen,MN,55317
MN_ORTHO15,Park Nicollet Clinic and Specialty Center - Burnsville,14050 Fairview Dr,"",Burnsville,MN,55337
MN_ORTHO16,TRIA Orthopedic Center - Bloomington,8100 Northland Dr,"",Bloomington,MN,55431
MN_ORTHO17,TRIA Orthopedic Urgent Care - Bloomington,8100 Northland Dr,"",Bloomington,MN,55431
MN_ORTHO18,Hutchinson Health Clinic,3 Century Ave SE,"",Hutchinson,MN,55350
MN_ORTHO19,Park Nicollet Specialty Center at Methodist Hospital,3931 Louisiana Ave S,"",Saint Louis Park,MN,55426
MN_ORTHO20,TRIA Orthopedics - St. Louis Park,3931 Louisiana Ave S,Ste E400,Saint Louis Park,MN,55426
MN_ORTHO21,Hutchinson Health Orthopedic & Rehab Clinic,1029 Highway 15 S,"",Hutchinson,MN,55350
mgtindummy011,"Steiman, David M (Practice: David M Steiman MD)",350 NW 84TH AVE,STE 211,PLANTATION,FL,33324
mgtindummy012,"Teltser, Matthew (Practice: Associates MD Medical Group)",4780 SW 64TH AVE,SUITE 101,DAVIE,FL,33314
referralMNRef539,St Paul Eye Clinic PA,1675 Beam Ave Ste 100,"",Maplewood,MN,55109
referralMNRef540,St Paul Eye Clinic PA,2680 Snelling Ave N Ste 110,"",Saint Paul,MN,55113
referralMNRef541,St Paul Eye Clinic PA,1093 Grand Ave,"",Saint Paul,MN,55105
referralMNRef542,St Paul Eye Clinic PA,5945 Norwich Ave N,"",Oak Park Heights,MN,55082
mgtindummy013,"Vakharia, Vijay (Practice: Vijay K Vakharia )",201 SW 84TH AVE,"",PLANTATION,FL,33324
mgtindummy014,"AJI, WALIF (Practice: MEMORIAL HEALTHCARE SYSTEM)",2301 N UNIVERSITY DR,STE 211,PEMBROKE PINES,FL,33024
TEST12355,LABCORP AT WALGREENS,14713 SW 42ND ST STE 101,"",MIAMI,FL,33185
mgtindummy015,"SANZOBRINO, BRENDA W (Practice: MEMORIAL HEALTHCARE SYSTEM)",2301 N UNIVERSITY DR,STE 211,PEMBROKE PINES,FL,33024
mgtindummy016,"VANDORMAEL, MICHEL G (Practice: SANITAS SOUTH FLORIDA)",180 SW 84TH AVE,STE B,PLANTATION,FL,33324
mgtindummy017,"Beirne, Audrey (Practice: Skin and Cancer Associates)",201 NW 82ND AVE,STE 103,PLANTATION,FL,33324
MN_ORTHO22,TRIA Orthopedics - Maple Grove,9555 Upland Ln N,"",Maple Grove,MN,55369
mgtindummy018,"Bernhardt, Mark S (Practice: Mark S Bernhardt MD)",1601 E BROWARD BLVD,"",FORT LAUDERDALE,FL,33301
mgtindummy019,"Chaplik, Igor (Practice: Aesthetix Skin and Surgery Center)",4331 N FEDERAL HWY,SUITE 400,OAKLAND PARK,FL,33308
TEST12356,LABCORP,2142 E EDGEWOOD DR,"",LAKELAND,FL,33803
mgtindummy020,"Charlie, Nelson (Practice: Nelson Charlie MD )",1800 SE 10TH AVE,SUITE 305,FORT LAUDERDALE,FL,33316
MN_ORTHO30,TRIA Orthopedics - Stillwater,1500 Curve Crest Blvd W,"",Stillwater,MN,55082
referralMNRef292,Allina - Virgina Piper Cancer Institue River Falls,1629 E Division St,"",River Falls,WI,54022
mgtindummy021,"Frankel, Stacy J (Practice: Skin and Cancer Associates)",2951 NW 49TH AVE,S 205,LAUD LAKES,FL,33313
TEST12357,LCA CONTRACTED SITE-LAKESIDE MEDICAL CENTER,39200 HOOKER HWY,"",BELLE GLADE,FL,33430
mgtindummy022,"Hull, Kimberly J (Practice: Skin and Cancer Associates)",3000 N UNIVERSITY DR,STE K,CORAL SPRINGS,FL,33065
MN_ORTHO23,TRIA Orthopedics - St. Paul,400 Wabasha St N,Ste 260,Saint Paul,MN,55102
referralMNRef265,Riverwood Healthcare Center,200 Bunker Hill Dr,"",Aitkin,MN,56431
TEST12358,LCA CONTRACTED SITE-MIAMI CHILDRENS HOSPITAL,6200 SW 62 AVENUE,"",MIAMI,FL,33155
referralMNRef266,Southwest MN Orthopedics & Sports Medicine Inc,2331 20th St,"",Slayton,MN,56172
referralMNRef267,St Cloud Orthopedics - St. Cloud Clinic,3315 Roosevelt Rd Ste 200B,"",Saint Cloud,MN,56301
MN_ORTHO24,HealthPartners Regions Specialty Clinics,640 Jackson St,"",Saint Paul,MN,55101
referralMNRef268,St Cloud Orthopedics - Sartell Main Clinic,1901 Connecticut Ave S,"",Sartell,MN,56377
referralMNRef269,St Cloud Orthopedics - CentraCare Health-Paynesville,200 W 1st St,"",Paynesville,MN,56362
MN_ORTHO25,Regions Hospital - Orthopedic Surgery,640 Jackson St,"",Saint Paul,MN,55101
referralMNRef270,St Cloud Orthopedics - St. Michael’s Hospital CentraCare Sauk Centre,425 Elm St N,"",Sauk Centre,MN,56378
referralMNRef271,Tristate Brain & Spine Institute - Alexandria,6600 State Highway 29 S,"",Alexandria,MN,56308
referralMNRef272,Tristate Brain & Spine Institute - Burnsville,1601 Hwy 13 E Ste 101,"",Burnsville,MN,55337
MN_ORTHO26,HealthPartners Speciality Center - Orthopedics & Sports Medicine,435 Phalen Blvd,"",Saint Paul,MN,55130
referralMNRef273,United Hospital District Clinic,515 S Moore St,"",Blue Earth,MN,56013
referralMNRef274,Valley Bone & Joint Clinic,3035 DeMers Ave,"",Grand Forks,ND,58201
referralMNRef275,Welia Health,301 Highway 65 S,"",Mora,MN,55051
referralMNRef276,Orthopaedic Associates of Duluth PA,1000 E 1st St Ste 404,"",Duluth,MN,55805
referralMNRef277,Orthopaedic Associates of Duluth PA,1000 E 1st St Ste 404,"",Duluth,MN,55805
referralMNRef278,Lakewood Health System,49725 County 83,"",Staples,MN,56479
MN_ORTHO27,TRIA Orthopedic Center - Woodbury,155 Radio Dr,"",Woodbury,MN,55125
referralMNRef279,Silverman Ankle & Foot,6600 France Ave Ste 605,"",Edina,MN,55435
referralMNRef280,Silverman Ankle & Foot - Apple Valley Foot & Ankle Clinic,14655 Galaxie Ave,"",Apple Valley,MN,55124
MN_ORTHO28,TRIA Orthopedic Urgent Care - Woodbury,155 Radio Dr,"",Woodbury,MN,55125
referralMNRef281,Riverview Family Practice & Integrative Medicine - RiverView Health,323 S Minnesota St,"",Crookston,MN,56716
referralMNRef282,Alomere Health - Alexandria,111 17th Ave E,"",Alexandria,MN,56308
referralMNRef283,Allina - St. Francis Regional Medical,1475 Saint Francis Ave,"",Shakopee,MN,55379
referralMNRef284,Allina -Virginia Piper Cancer Institute Cambridge,701 Dellwood St S,"",Cambridge,MN,55008
referralMNRef285,Allina Health - Coon Rapids Clinc,9055 Springbrook Dr NW,"",Coon Rapids,MN,55433
referralMNRef286,Allina - Abbot Northwestern Hospital,800 E 28th St,"",Minneapolis,MN,55407
referralMNRef287,Allina - Virgina Piper Cancer Institue Minneapolis,800 E 28th St,"",Minneapolis,MN,55407
mgtindummy023,"Lattouf, Carol (Practice: Nelson Charlie MD )",1800 SE 10TH AVE,SUITE 305,FORT LAUDERDALE,FL,33316
mgtindummy024,"Meirson, Dan H (Practice: Dan H Meirson MD)",1166 W NEWPORT CENTER DR,STE 100,DEERFIELD BEACH,FL,33442
mgtindummy025,"Sarkell, Barry A (Practice: Skin and Cancer Associates)",2929 N UNIVERSITY DR,STE 101,CORAL SPRINGS,FL,33065
mgtindummy026,"Sharaf, David M (Practice: Skin and Cancer Associates)",201 NW 82ND AVE,STE 501,PLANTATION,FL,33324
mgtindummy027,"Zarraga, Matthew (Practice: Skin and Cancer Associates)",2838 E OAKLAND PL BLVD,STE 201,FORT LAUDERDALE,FL,33306
mgtindummy028,"Contrucci, Robert (Practice: Robert B Contrucci)",10071 PINES BLVD,STE C,PEMBROKE PINES,FL,33024
mgtindummy029,"Georgakakis, George (Practice: George E Georgakakis)",4801 N FEDERAL HWY,STE 302,FORT LAUDERDALE,FL,33308
mgtindummy030,"Farrell, Kenneth (Practice: Kenneth Farrell)",6405 N FEDERAL HWY,STE 104,FORT LAUDERDALE,FL,33308
mgtindummy031,"Fingerer, Walter (Practice: Walter M Fingerer)",3001 NW 49TH AVE,STE 207,LAUDERDALE LAKES,FL,33313
TEST12359,LCA CONTRACTED SITE-FLORIDA MEDICAL CLINIC,13417 US HWY 301,"",DADE CITY,FL,33525
mgtindummy032,"Ramos, Sharon (Practice: Robert B Contrucci)",10071 PINES BLVD,STE C,PEMBROKE PINES,FL,33024
referralMNRef062,Children's - Minneapolis,2525 Chicago Ave,"",Minneapolis,MN,55404
referralMNRef063,Children's Speciality Center - Orthopedic Clinic,2530 Chicago Ave,"",Minneapolis,MN,55404
MN_ORTHO29,HealthPartners Clinic Stillwater,1500 Curve Crest Blvd W,"",Stillwater,MN,55082
referralMNRef064,Children's Ritchie Medical Plaza - Orthopedic Clinic,310 N Smith Ave,"",Saint Paul,MN,55102
referralMNRef065,Children's - St. Paul,345 Smith Ave N,"",Saint Paul,MN,55102
referralMNRef071,Essentia - Orthopedics & Sports Medicine -Hibbing Clinic,730 E 34th St,"",Hibbing,MN,55746
TEST12360,LCA CONTRACTED SITE-MERCY LABORATORY ASSOCIATES,3663 S MIAMI AVE,MERCY HOSPITAL,MIAMI,FL,33133
referralMNRef144,Sanford Health - Worthington Medical Center,1018 6th Ave,"",Worthington,MN,56187
referralMNRef145,Sanford Health - Center for Joint Success Sioux Falls,1305 W 18th St,"",Sioux Falls,SD,57105
referralMNRef146,Sanford Health - Luverne Medical Center,1600 N Kniss Ave,"",Luverne,MN,56156
referralMNRef147,Sanford Health - Children's Hospital Sioux Falls,1600 W 22nd St,"",Sioux Falls,SD,57105
referralMNRef148,Sanford Health - Worthington Medical Center,1018 6th Ave,"",Worthington,MN,56187
referralMNRef288,Allina - Givens Brain Tumor Center,800 E 28th St Ste 304,"",Minneapolis,MN,55407
TEST12361,LABCORP,7431 N UNIVERSITY DR STE 209,"",TAMARAC,FL,33321
referralMNRef289,Allina - Mercy Hospital Unity Campus,550 Osborne Rd NE,"",Fridley,MN,55432
referralMNRef290,Allina - Mercy Hospital,4050 Coon Rapids Blvd NW,"",Coon Rapids,MN,55433
referralMNRef291,Allina - New Ulm Medical Center,1324 5th St N,"",New Ulm,MN,56073
referralMNRef293,Allina - Minneapolis Heart Insitute Cardio-Oncology Clinic,800 E 28th St - 2nd Floor,"",Minneapolis,MN,55407
referralMNRef294,Allina - Virginia Piper Cancer Center Buffalo,303 Catlin St,"",Buffalo,MN,55313
referralMNRef295,Allina - District One Hospital,200 State Ave,"",Faribault,MN,55021
referralMNRef296,Allina - Piper Breast Center St Paul,310 Smith Ave N,Ste 300,Saint Paul,MN,55102
referralMNRef297,Allina Health - River Falls Clinic,1617 E Division St,"",River Falls,WI,54022
MN_ORTHO31,Lakeview Orthopedics,927 Churchill St W,"",Stillwater,MN,55082
referralMNRef298,Allina - Buffalo Hospital,303 Catlin St,"",Buffalo,MN,55313
referralMNRef299,Allina - Piper Breast Center Plymouth,2855 Campus Dr Ste 150,"",Plymouth,MN,55441
referralMNRef300,Allina - Piper Breast Center Minneapolis,913 E 26th St Ste 402,"",Minneapolis,MN,55404
referralMNRef340,Mayo Health System Cancer Center,404 W Fountain St,"",Albert Lea,MN,56007
referralMNRef341,Mayo Health System Fairmont Hopstial and Clinic,800 Medical Center Dr,"",Fairmont,MN,56031
referralMNRef342,Mayo Health System Austin Hospital and Clinic,1000 1st Dr NW,"",Austin,MN,55912
MN_ORTHO32,Southwest MN Orthopedics & Sports Medicine Inc,1401 Nwakama St,"",Marshall,MN,56258
referralMNRef343,Mayo Health System Mankato Hospital and Clinic,1025 Marsh St,"",Mankato,MN,56001
referralMNRef344,Mayo Health System Owatonna Clinic,2200 NW 26th St,"",Owatonna,MN,55060
referralMNRef345,Mayo Health System New Prague Hospital,301 2nd St NE,"",New Prague,MN,56071
MN_ORTHO33,Southwest MN Orthopedics & Sports Medicine Inc,2331 20th St,"",Slayton,MN,56172
MN_ORTHO34,Orthopaedic Associates of Duluth,1000 E 1st St,Suite 400,Duluth,MN,55805
MN_ORTHO35,Orthopaedic Associates of Duluth,3429 E Beltline,"",Hibbing,MN,55746
MN_ORTHO36,Children's Speciality Center Orthopedic Clinic,2530 Chicago Ave S,G070,Minneapolis,MN,55404
referralMNRef149,Sanford Health - Westbrook Clinic,920 Bell Ave,"",Westbrook,MN,56183
referralMNRef150,Sanford Health - Orthopedics & Sports Medicine Fargo,2301 25th St S,"",Fargo,ND,58103
referralMNRef224,Twin Cities Orthopedics - Edina Crosstown,4010 W 65th St,"",Edina,MN,55435
TEST12362,LABCORP,3020 LEE BLVD STE 8,"",LEHIGH ACRES,FL,33971
referralMNRef225,Twin Cities Orthopedics - Otsego,8540 Quaday Ave NE,"",Otsego,MN,55330
referralMNRef226,Twin Cities Orthopedics - Watertown,204 Lewis Ave S Ste 201,"",Watertown,MN,55388
referralMNRef227,Twin Cities Orthopedics - Chaska,111 Hundertmark Rd,"",Chaska,MN,55318
MN_ORTHO37,Lake Region Health Care,111 W Vernon Ave,"",Fergus Falls,MN,56537
referralMNRef228,Twin Cities Orthopedics - Westonka,4695 Shoreline Dr,"",Spring Park,MN,55384
referralMNRef301,Allina - Virginia Piper Cancer Center Faribault,200 State Ave,"",Faribault,MN,55021
referralMNRef302,Allina - River Falls Area Hospital,1629 E Division St,"",River Falls,WI,54022
TEST12363,LABCORP,830 E OAKLAND PARK BLVD #121,PRIMAVERA PLAZA,OAKLAND PARK,FL,33334
referralMNRef303,Allina - Regina Hospital,1175 Nininger Rd,"",Hastings,MN,55033
referralMNRef304,Allina - Piper Breast Center Coon Rapids,11850 Blackfoot St NW Ste 300,"",Coon Rapids,MN,55433
referralMNRef305,Altru Hospital,1300 S Columbia Rd,"",Grand Forks,ND,58201
referralMNRef306,Altru Cancer Center,960 S Columbia Rd,"",Grand Forks,ND,58201
referralMNRef307,Avera Marshall Regional Medical Center,300 S Bruce St,"",Marshall,MN,56258
referralMNRef381,Sanford Health Bemidji Anne St Clinic,1611 Anne St NW,"",Bemidji,MN,56601
TEST12364,LABCORP,17901 NW 5 ST #104 & #105,"",PEMBROKE PINES,FL,33029
referralMNRef382,Sanford Health - Perham Health Clinic,1000 Coney St W,"",Perham,MN,56573
referralMNRef383,Sanford Health Wahpeton Clinic,332 2nd Ave N,"",Wahpeton,ND,58075
referralMNRef384,Sanford Health - Bagley Clinic,1656 Central St W,"",Bagley,MN,56621
MN_ORTHO38,St. Luke's Ortopedics & Sports Medicine,1012 East Second St,4th Floor,Duluth,MN,55805
referralMNRef385,Sanford Health - Bagley Clearbrook Clinic,22 Elm St,"",Clearbrook,MN,56634
referralMNRef458,Gundersen - Onalaska Eye Clinic,3111 Gundersen Dr,"",Onalaska,WI,54650
referralMNRef459,Gundersen - Winona Eye Clinic,1122 W Highway 61,"",Winona,MN,55987
TEST12365,LCA CONTRACTED SITE-BARTOW REGIONAL MED CTR,2200 OSPREY BLVD,LABORATORY,BARTOW,FL,33830
referralMNRef460,HCMC Clinic & Speciality Center,715 S 8th St,"",Minneapolis,MN,55414
referralMNRef461,HealthPartners - Amery Clinic & Hospital,265 Griffin St E,"",Amery,WI,54001
referralMNRef462,HealthPartners Clinic Bloomington,8600 Nicollet Ave S,"",Bloomington,MN,55420
referralMNRef463,HealthPartners Specialty Center - Eye Care,401 Phalen Blvd,"",Saint Paul,MN,55130
referralMNRef464,HealthPartners Clinic St. Paul Como,2500 Como Ave,"",Saint Paul,MN,55108
referralMNRef538,St Paul Eye Clinic PA,2080 Woodwinds Dr Ste 230,"",Woodbury,MN,55125
TEST12366,LABCORP,14131 METROPOLIS AVE STE 102,"",FORT MYERS,FL,33912
mgtindummy033,"Babaian, Manuel E (Practice: Coral Ridge Gastroenterology Association)",5700 N FEDERAL HWY SUITE 1,"",FORT LAUDERDALE,FL,33308
mgtindummy034,"Bennett, Caren J (Practice: Caren J Bennett)",7261 SHERIDAN ST,STE 100C,HOLLYWOOD,FL,33024
mgtindummy035,"Bloom, John D (Practice: Coral Ridge Gastroenterology Association)",5301 N DIXIE HWY,STE 202,FORT LAUDERDALE,FL,33334
MN_ORTHO39,CHI St. Gabriel's Health - Little Falls Orthopedics,1108 1 St S.E.,"",Little Falls,MN,56345
mgtindummy036,"Bonner, Gregory F (Practice: Coral Ridge Gastroenterology Association)",2021 E COMMERCIAL BLVD,STE 202,FORT LAUDERDALE,FL,33308
mgtindummy037,"Deutsch, Edward S (Practice: Gastro Health LLC)",3001 CORAL HILLS DR,SUITE 250,CORAL SPRINGS,FL,33065
referralMNRef346,Mayo Health System Red Wing Hospital and Clinic,701 Hewitt Blvd,"",Red Wing,MN,55066
